Date,Rate,rate_change,Quarterly_Avg_CCI,Quarterly_Avg_Unemployment_Rate,Quarterly_Avg_10_Year_Gilt_Yield,Quarterly_Avg_CPIH,Quarterly_Avg_Gross_Value_Added,Quarterly_Avg_Exchange_Rate_USD,Quarterly_Avg_Exchange_Rate_Euro
1997-05-06,6.25,1,102.8033,7.2,7.420166666666667,0.3333333333333333,62.866666666666674,0.6161666666666666,0.7075999999999999
1997-06-06,6.5,1,102.88573333333333,7.233333333333333,7.315966666666667,0.3333333333333333,63.0,0.6113333333333334,0.6984666666666667
1997-07-10,6.75,1,102.91066666666666,7.2,7.122533333333333,0.13333333333333336,63.03333333333333,0.6063666666666666,0.6830666666666666
1997-08-07,7.0,1,102.8913,7.066666666666666,7.096266666666668,0.13333333333333333,63.26666666666667,0.6102333333333334,0.6702333333333333
1997-11-06,7.25,1,102.95896666666665,6.6000000000000005,6.652166666666666,0.13333333333333333,63.93333333333334,0.6096666666666666,0.6799333333333334
1998-06-04,7.5,1,102.45916666666666,6.3,5.821333333333333,0.3333333333333333,65.33333333333333,0.6048666666666667,0.6606000000000001
1998-10-08,7.25,-1,101.12153333333333,6.2,5.244333333333333,0.2333333333333333,65.7,0.5990666666666667,0.6863666666666667
1998-11-05,6.75,-1,101.17139999999999,6.166666666666667,5.0305333333333335,0.16666666666666666,65.86666666666666,0.5953666666666667,0.6960666666666667
1998-12-10,6.25,-1,101.3177,6.166666666666667,4.819366666666666,0.13333333333333333,66.10000000000001,0.5967333333333333,0.7018666666666666
1999-01-07,6.0,-1,101.53836666666666,6.166666666666667,4.577833333333333,0.0,66.23333333333333,0.602,0.7012999999999999
1999-02-04,5.5,-1,101.79973333333334,6.2,4.412066666666667,0.033333333333333326,66.39999999999999,0.6062666666666666,0.6974
1999-04-08,5.25,-1,102.34553333333334,6.166666666666667,4.559766666666666,0.39999999999999997,66.53333333333333,0.6173333333333334,0.6745666666666666
1999-06-10,5.0,-1,102.52706666666666,6.033333333333334,4.890133333333333,0.19999999999999998,66.83333333333333,0.6223333333333333,0.6578333333333334
1999-09-08,5.25,1,102.60556666666666,5.866666666666667,5.498066666666666,0.06666666666666665,67.93333333333334,0.6243333333333333,0.6550333333333334
1999-11-04,5.5,1,102.75010000000002,5.8,5.6285,0.13333333333333333,68.73333333333333,0.612,0.6431
2000-01-13,5.75,1,103.02773333333333,5.833333333333333,5.508733333333333,-0.06666666666666665,69.33333333333333,0.6154666666666667,0.627
2000-02-10,6.0,1,103.01503333333334,5.833333333333333,5.615466666666666,-0.033333333333333326,69.53333333333335,0.6182333333333333,0.6197
2001-02-08,5.75,-1,102.7973,5.166666666666667,4.861233333333334,-0.13333333333333333,71.73333333333333,0.6832333333333334,0.6274666666666667
2001-04-05,5.5,-1,102.83273333333334,5.0,4.824866666666666,0.39999999999999997,72.03333333333333,0.6924333333333333,0.6283
2001-05-10,5.25,-1,102.8213,4.966666666666667,4.9217,0.5,72.13333333333334,0.6968333333333333,0.6214
2001-08-02,5.0,-1,102.7317,5.066666666666666,5.128066666666667,1.850371707708594e-17,72.46666666666667,0.7059333333333333,0.6147
2001-09-18,4.75,-1,102.51463333333334,5.1,5.0589,0.03333333333333335,72.5,0.6957333333333334,0.6194000000000001
2001-10-04,4.5,-1,102.24066666666666,5.1,4.932766666666667,0.19999999999999998,72.60000000000001,0.6894666666666667,0.6245666666666666
2001-11-08,4.0,-1,102.11893333333335,5.133333333333333,4.8133333333333335,0.033333333333333326,72.63333333333333,0.6896,0.6218
2003-02-06,3.75,-1,101.48239999999998,5.1000000000000005,4.3891333333333336,0.033333333333333326,74.6,0.6236,0.6565666666666666
2003-07-10,3.5,-1,101.27113333333334,5.033333333333333,4.246733333333333,-0.10000000000000002,75.60000000000001,0.6114333333333333,0.7053333333333334
2003-11-06,3.75,1,101.28403333333334,4.933333333333334,4.8951,0.10000000000000002,76.6,0.6025333333333333,0.6961333333333334
2004-02-05,4.0,1,101.30656666666668,4.8,4.8297,0.06666666666666667,76.9,0.5518000000000001,0.6903666666666667
2004-05-06,4.25,1,101.2451,4.8,4.925866666666667,0.3,77.23333333333333,0.5541666666666667,0.6696
2004-06-10,4.5,1,101.07463333333334,4.8,5.0896,0.26666666666666666,77.36666666666666,0.5540666666666666,0.6672333333333333
2004-08-05,4.75,1,100.87519999999999,4.733333333333333,5.105133333333334,0.0,77.53333333333333,0.5463,0.6666333333333333
2005-08-04,4.5,-1,101.33796666666667,4.7,4.303566666666666,0.16666666666666666,79.96666666666667,0.5595333333333334,0.6805333333333333
2006-08-03,4.75,1,100.8938,5.5,4.658,0.2333333333333333,81.83333333333333,0.5375666666666666,0.6836666666666668
2006-11-09,5.0,1,101.05460000000001,5.466666666666666,4.570966666666667,0.20000000000000004,82.06666666666666,0.5289666666666667,0.6739333333333334
2007-01-11,5.25,1,100.8324,5.5,4.678033333333333,0.0666666666666667,82.66666666666667,0.5143666666666666,0.6701
2007-05-10,5.5,1,100.95876666666668,5.433333333333334,5.003033333333334,0.3666666666666667,83.56666666666668,0.5066666666666666,0.6804
2007-07-05,5.75,1,101.28476666666666,5.333333333333333,5.328766666666667,0.0,83.96666666666667,0.4997333333333333,0.6771666666666666
2007-12-06,5.5,-1,100.92400000000002,5.2,4.792533333333334,0.39999999999999997,84.76666666666667,0.48923333333333335,0.7087666666666667
2008-02-07,5.25,-1,100.31237333333335,5.2,4.6032,0.19999999999999998,85.36666666666667,0.5041333333333333,0.7398666666666666
2008-04-10,5.0,-1,99.18249333333331,5.233333333333333,4.570533333333334,0.6,85.43333333333332,0.5043333333333333,0.7738333333333333
2008-10-08,4.5,-1,96.0915,6.033333333333334,4.625233333333334,0.2333333333333333,83.16666666666667,0.5595666666666667,0.7924333333333333
2008-11-06,3.0,-1,96.13316333333334,6.2,4.468700000000001,0.06666666666666667,82.4,0.6004999999999999,0.8051
